dteday,temp,cnt
2011-01-01,18.879232505643337,985
2011-01-02,19.480812641083517,801
2011-01-03,14.274984609070385,1349
2011-01-04,14.388261851015802,1562
2011-01-05,15.227990970654627,1600
2011-01-06,14.52370203160271,1606
2011-01-07,14.279909706546274,1510
2011-01-08,13.297968397291196,959
2011-01-09,12.467268623024829,822
2011-01-10,12.856659142212191,1321
2011-01-11,13.425405294479786,1263
2011-01-12,13.5386825364252,1162
2011-01-13,13.297968397291196,1406
2011-01-14,13.169300225733634,1421
2011-01-15,15.42663656884876,1248
2011-01-16,15.374717832957108,1204
2011-01-17,13.635440180586906,1000
2011-01-18,14.907449209932278,683
2011-01-19,17.259593679458238,1650
2011-01-20,16.30925507900677,1927
2011-01-21,13.687358916478555,1543
2011-01-22,10.0,981
2011-01-23,11.164785553047404,986
2011-01-24,11.191873589164786,1416
2011-01-25,15.119638826185103,1985
2011-01-26,14.933408577878101,506
2011-01-27,14.232505643340858,431
2011-01-28,14.496613995485326,1167
2011-01-29,14.279909706546274,1098
2011-01-30,14.90293453724605,1096
2011-01-31,13.79119638826185,1501
2011-02-01,14.14446952595937,1360
2011-02-02,16.25733634311512,1526
2011-02-03,13.981941309255076,1550
2011-02-04,14.740406320541762,1708
2011-02-05,15.426636568848757,1005
2011-02-06,17.062076749435665,1623
2011-02-07,16.620767494356656,1712
2011-02-08,15.0372460496614,1530
2011-02-09,12.35665914221219,1605
2011-02-10,12.654627539503384,1538
2011-02-11,14.04843012517956,1746
2011-02-12,15.089164785553047,1472
2011-02-13,18.018058690744923,1589
2011-02-14,21.08577878103837,1913
2011-02-15,16.446952595936793,1815
2011-02-16,18.072234762979683,2115
2011-02-17,21.73476297968397,2475
2011-02-18,24.408577878103834,2927
2011-02-19,20.59255079006772,1635
2011-02-20,17.042889390519186,1812
2011-02-21,17.607223476297968,1107
2011-02-22,13.834462001504889,1450
2011-02-23,15.065462753950339,1917
2011-02-24,17.367945823927766,1807
2011-02-25,19.5079006772009,1461
2011-02-26,16.958239277652368,1969
2011-02-27,18.857787810383744,2402
2011-02-28,20.845064641904372,1446
2011-03-01,16.465011286681715,1851
2011-03-02,18.593679458239272,2134
2011-03-03,14.336343115124151,1685
2011-03-04,16.30925507900677,1944
2011-03-05,20.12528216704289,2077
2011-03-06,19.887133182844238,605
2011-03-07,16.311512415349885,1872
2011-03-08,17.269751693002256,2133
2011-03-09,17.373589164785553,1891
2011-03-10,20.2786784321773,623
2011-03-11,18.018058690744923,1977
2011-03-12,18.411963882618505,2132
2011-03-13,20.130925507900677,2417
2011-03-14,18.28893905191874,2046
2011-03-15,18.045146726862303,2056
2011-03-16,19.534988713318285,2192
2011-03-17,21.08577878103837,2744
2011-03-18,24.97968397291196,3239
2011-03-19,22.876975169300223,3117
2011-03-20,18.515801354401802,2471
2011-03-21,21.566591422121896,2077
2011-03-22,21.91647855530474,2703
2011-03-23,18.96613995485327,2121
2011-03-24,17.036117381489845,1865
2011-03-25,16.387133182844245,2210
2011-03-26,16.43905191873589,2496
2011-03-27,16.040632054176072,1693
2011-03-28,16.392776523702032,2028
2011-03-29,17.581264108352144,2425
2011-03-30,17.503386004514667,1536
2011-03-31,16.516930022573366,1685
2011-04-01,17.50338600451467,2227
2011-04-02,17.970654627539503,2252
2011-04-03,19.943566591422123,3249
