from_date,item_descr,amount
2016-01-04,Menü 1,60
2016-01-04,Menü 2,101
2016-01-04,Menü 3,76
2016-01-05,Menü 1,52
2016-01-05,Menü 2,96
2016-01-05,Menü 3,102
2016-01-07,Menü 1,72
2016-01-07,Menü 2,48
2016-01-07,Menü 3,219
2016-01-08,Menü 1,91
2016-01-08,Menü 2,50
2016-01-08,Menü 3,145
2016-01-11,Menü 1,154
2016-01-11,Menü 2,78
2016-01-11,Menü 3,157
2016-01-12,Menü 1,149
2016-01-12,Menü 2,135
2016-01-12,Menü 3,116
2016-01-13,Menü 1,65
2016-01-13,Menü 2,93
2016-01-13,Menü 3,207
2016-01-14,Menü 1,55
2016-01-14,Menü 2,135
2016-01-14,Menü 3,122
2016-01-15,Menü 1,124
2016-01-15,Menü 2,65
2016-01-15,Menü 3,139
2016-01-18,Menü 1,81
2016-01-18,Menü 2,170
2016-01-18,Menü 3,187
2016-01-19,Menü 1,77
2016-01-19,Menü 2,175
2016-01-19,Menü 3,105
2016-01-20,Menü 1,43
2016-01-20,Menü 2,106
2016-01-20,Menü 3,263
2016-01-21,Menü 1,156
2016-01-21,Menü 2,97
2016-01-21,Menü 3,134
2016-01-22,Menü 1,107
2016-01-22,Menü 2,80
2016-01-22,Menü 3,170
2016-01-25,Menü 1,124
2016-01-25,Menü 2,94
2016-01-25,Menü 3,179
2016-01-26,Menü 1,40
2016-01-26,Menü 2,154
2016-01-26,Menü 3,161
2016-01-27,Menü 1,79
2016-01-27,Menü 2,78
2016-01-27,Menü 3,268
2016-01-28,Menü 1,31
2016-01-28,Menü 2,65
2016-01-28,Menü 3,284
2016-01-29,Menü 1,140
2016-01-29,Menü 2,91
2016-01-29,Menü 3,132
2016-02-01,Menü 1,120
2016-02-01,Menü 2,167
2016-02-01,Menü 3,187
2016-02-02,Menü 1,103
2016-02-02,Menü 2,130
2016-02-02,Menü 3,139
2016-02-03,Menü 1,84
2016-02-03,Menü 2,93
2016-02-03,Menü 3,328
2016-02-04,Menü 1,58
2016-02-04,Menü 2,162
2016-02-04,Menü 3,169
2016-02-05,Menü 1,135
2016-02-05,Menü 2,75
2016-02-05,Menü 3,160
2016-02-08,Menü 1,136
2016-02-08,Menü 2,29
2016-02-08,Menü 3,186
2016-02-09,Menü 1,68
2016-02-09,Menü 2,135
2016-02-09,Menü 3,195
2016-02-10,Menü 1,48
2016-02-10,Menü 2,126
2016-02-10,Menü 3,216
2016-02-11,Menü 1,66
2016-02-11,Menü 2,131
