Period,Revenue,Sales_quantity,Average_cost
01.01.2015,16010072.1195,12729.0,1257.76354148008
01.02.2015,15807587.449808,11636.0,1358.50699981162
01.03.2015,22047146.023644,15922.0,1384.69702447205
01.04.2015,18814583.29428,15227.0,1235.60670481907
01.05.2015,14021479.611678,8620.0,1626.62176469582
01.06.2015,16783928.522112,13160.0,1275.37450775927
01.07.2015,19161892.194872,17254.0,1110.57680508126
01.08.2015,15204984.296742,8642.0,1759.4288702548
01.09.2015,20603939.9751,16144.0,1276.25990926041
01.10.2015,20992874.780136,18135.0,1157.58890433615
01.11.2015,14993369.65763,10841.0,1383.02459714325
01.12.2015,27791807.639848,22113.0,1256.80855785502
01.01.2016,28601586.496,15365.0,1861.4765047836
01.02.2016,22367074.065584,13153.0,1700.53022622854
01.03.2016,29738608.568,18339.0,1621.60469862043
01.04.2016,28351007.9388,13909.0,2038.3210826659
01.05.2016,15264603.734865,8553.0,1784.70755698176
01.06.2016,24385658.077056,15101.0,1614.83730064605
01.07.2016,29486517.069955,15695.0,1878.72042497324
01.08.2016,15270117.2565,8314.0,1836.67515714457
01.09.2016,36141027.562,17764.0,2034.50954526008
01.10.2016,27915143.655,18969.0,1471.61914992883
01.11.2016,21272049.3454,13433.0,1583.56654101094
01.12.2016,42014159.88396,27029.0,1554.41044374413
01.01.2017,36007380.67,16889.0,2132.00193439517
01.02.2017,30396775.3784,15864.0,1916.08518522441
01.03.2017,47678130.72603,22786.0,2092.43091047266
01.04.2017,27013964.728324,17910.0,1508.31740526655
01.05.2017,24948844.698,10777.0,2315.00832309548
01.06.2017,31101345.543,18799.0,1654.4148913772
01.07.2017,33848822.228544,17899.0,1891.10130334343
01.08.2017,16454666.958,9649.0,1705.32355249249
01.09.2017,31650092.652,20159.0,1570.02295014634
01.10.2017,31572205.6224,19519.0,1617.51143103643
01.11.2017,22446371.0268,15360.0,1461.35228039063
01.12.2017,44966125.7696,30833.0,1458.37660200435
01.01.2018,44067520.858,19812.0,2224.28431546538
01.02.2018,36020287.1553,18424.0,1955.07420512918
01.03.2018,46995990.4125,29004.0,1620.32790003103
01.04.2018,35536487.6848,22033.0,1612.87558139155
01.05.2018,29699599.176,14959.0,1985.40003850525
01.06.2018,33261065.3886,23067.0,1441.93286463779
01.07.2018,35826534.9072,18397.0,1947.41180122846
01.08.2018,23268655.2112,12045.0,1931.81031226235
01.09.2018,35423489.85,23358.0,1516.54635884922
01.10.2018,39831565.6974,22644.0,1759.03399122946
01.11.2018,32999145.2096,19765.0,1669.57476395649
01.12.2018,47221828.2018,33207.0,1422.04439430843
01.01.2019,36459960.091485,24096.0,1513.11255359749
01.02.2019,36546498.663015,21624.0,1690.08965330258
01.03.2019,54198706.7196,33379.0,1623.7366823332
01.04.2019,32743989.6056,22265.0,1470.64853382439
01.05.2019,32531657.5397,16967.0,1917.34882652797
01.06.2019,47709701.6346,24958.0,1911.59955263242
01.07.2019,45992141.57398,21917.0,2098.46884035133
01.08.2019,36933665.022,14431.0,2559.32818390964
01.09.2019,48526260.1344,23253.0,2086.88169846471
01.10.2019,44160416.1824,26603.0,1659.9788062399
01.11.2019,36374956.4944,21987.0,1654.38470434348
01.12.2019,58756473.6608,38069.0,1543.42046444088
01.01.2020,56288300.87,27184.0,2070.64085013243
01.02.2020,40225243.264,23509.0,1711.05718082437
01.03.2020,50022165.2325,32569.0,1535.88274839571
01.04.2020,52320692.9428,26615.0,1965.83479026113
